season_year,bid_amount,date,effective_date,id,is_pending,rating,status,type,team_id,team_code,member_id,player_id,player_name,to_team_id,to_team_code,from_team_id,from_team_code
2020,0,,,1e29d476-e74c-49b2-a2b3-0f3ddf18e42e,False,0,EXECUTED,FREEAGENT,1,PCX,{C3FCDEE0-434E-498F-9793-E68E81750B9B},-16007,,1,PCX,0,
2020,0,,,1e29d476-e74c-49b2-a2b3-0f3ddf18e42e,False,0,EXECUTED,FREEAGENT,1,PCX,{C3FCDEE0-434E-498F-9793-E68E81750B9B},-16024,,0,,1,PCX
2020,0,,,d0bb2280-c3d5-41ea-84c3-90a1a41b304b,False,0,EXECUTED,DRAFT,3,MXLB,{C3FCDEE0-434E-498F-9793-E68E81750B9B},3117251,,0,,0,
2020,0,,,d0bb2280-c3d5-41ea-84c3-90a1a41b304b,False,0,EXECUTED,DRAFT,3,MXLB,{C3FCDEE0-434E-498F-9793-E68E81750B9B},3116165,,0,,0,
2020,0,,,d0bb2280-c3d5-41ea-84c3-90a1a41b304b,False,0,EXECUTED,DRAFT,3,MXLB,{C3FCDEE0-434E-498F-9793-E68E81750B9B},3040151,,0,,0,
2020,0,,,d0bb2280-c3d5-41ea-84c3-90a1a41b304b,False,0,EXECUTED,DRAFT,3,MXLB,{C3FCDEE0-434E-498F-9793-E68E81750B9B},4040761,,0,,0,
2020,0,,,d0bb2280-c3d5-41ea-84c3-90a1a41b304b,False,0,EXECUTED,DRAFT,3,MXLB,{C3FCDEE0-434E-498F-9793-E68E81750B9B},3121422,,0,,0,
2020,0,,,d0bb2280-c3d5-41ea-84c3-90a1a41b304b,False,0,EXECUTED,DRAFT,3,MXLB,{C3FCDEE0-434E-498F-9793-E68E81750B9B},3912550,,0,,0,
2020,0,,,d0bb2280-c3d5-41ea-84c3-90a1a41b304b,False,0,EXECUTED,DRAFT,3,MXLB,{C3FCDEE0-434E-498F-9793-E68E81750B9B},3917315,,0,,0,
2020,0,,,d0bb2280-c3d5-41ea-84c3-90a1a41b304b,False,0,EXECUTED,DRAFT,3,MXLB,{C3FCDEE0-434E-498F-9793-E68E81750B9B},4241475,,0,,0,
